epoch,train_loss,train_acc,val_loss,val_acc,lr,sec
1,0.17928256350504387,0.9356959290848821,0.0858355388045311,0.9667144657367575,0.0029623918682727354,11.02953290939331
2,0.07983910682218125,0.9679969458825282,0.07946851849555969,0.9697562247425369,0.002851453301853629,12.308424472808838
3,0.07519689361593293,0.9682297292264144,0.07171941548585892,0.9697127710424542,0.0026727472237020452,11.4618399143219
4,0.07367654217968281,0.9683507765652352,0.07126917690038681,0.9705818450441055,0.002435234702788101,10.045679092407227
5,0.07259345649848739,0.9682111065589035,0.07407912611961365,0.9685395211402251,0.0021508256086763375,9.908741235733032
6,0.07162204583534947,0.9686859845804313,0.07364431768655777,0.9683657063398948,0.0018337814009344719,10.15917706489563
7,0.07055505962200931,0.9693843346120898,0.07276841998100281,0.9696258636422891,0.0015000000000000002,9.893730163574219
8,0.06982610192372016,0.9697660992960632,0.07107983529567719,0.9682353452396472,0.0011662185990655286,9.700740575790405
9,0.06935835693859468,0.9696916086260196,0.07057991623878479,0.9698865858427845,0.0008491743913236631,10.414931535720825
10,0.068906970589919,0.9695891839547097,0.06994162499904633,0.9687567896406379,0.0005647652972118999,9.80295729637146
11,0.06848978137679929,0.9696078066222206,0.07028399407863617,0.9690609655412158,0.00032725277629795587,11.554935693740845
12,0.06809528801551215,0.969784721963574,0.0698741227388382,0.969930039542867,0.00014854669814637147,13.116585493087769
13,0.06771583932893578,0.9698778353011286,0.07028379291296005,0.9690175118411333,3.760813172726441e-05,11.01896595954895
14,0.06755342322243424,0.9700733733099929,0.06999581307172775,0.9694085951418764,0.0,10.331928253173828
